id,name,countryid,phone_number,Email
540,טרופיקל דגיל תעשיות קוסמ,10,0565085083,0565085083@super.student.com
541,טרנסומס פוד,50,0514452997,0514452997@super.student.com
542,"י. כהן בע""\מ",10,0542841200,0542841200@super.student.com
543,"י.את.א.ברמן בע""\מ",10,0554905842,0554905842@super.student.com
544,י.ב טכנולוגיות אריזה בעמ,10,0534640207,0534640207@super.student.com
545,"י.כהן בע""מ",10,0588011354,0588011354@super.student.com
546,י.ש. חמד תעשיות,10,0582453880,0582453880@super.student.com
547,יאמאסה,34,0501521544,0501521544@super.student.com
548,יאן ואל יון,22,0586824412,0586824412@super.student.com
549,יאן וואל יון קו.לטד,22,0537969944,0537969944@super.student.com
550,יבוא ושיווק: הנמל אריזות,33,0579009239,0579009239@super.student.com
551,יגור חקלאות ועסקים,10,0589446056,0589446056@super.student.com
552,יד מרדכי,20,0588391912,0588391912@super.student.com
553,"יוליוס סימון ,52 חיפה.",10,0522431841,0522431841@super.student.com
554,יוניאון,38,0576677773,0576677773@super.student.com
555,יונייטד ביסקוויטס,5,0565991125,0565991125@super.student.com
556,יונייטד פודס,24,0568731416,0568731416@super.student.com
557,יונילבר צרפת,6,0513976793,0513976793@super.student.com
558,יוניליוור,28,0505976333,0505976333@super.student.com
559,יוניליוור  אנגליה,10,0535759201,0535759201@super.student.com
560,יוניליוור אנגליה,5,0521637824,0521637824@super.student.com
561,"יוניליוור אנגליה, דרך קו",5,0536285858,0536285858@super.student.com
562,"יוניליוור ארהב, רייפורד,",18,0575690899,0575690899@super.student.com
563,יוניליוור גרמניה,2,0506554369,0506554369@super.student.com
564,יוניליוור גרמניה Gmbh &,2,0581314927,0581314927@super.student.com
565,יוניליוור ישראל טיפוח אי,10,0521994302,0521994302@super.student.com
566,יוניליוור ישראל מזון בע\,10,0578057400,0578057400@super.student.com
567,יוניליוור ישראל מזון בעמ,10,0549141897,0549141897@super.student.com
568,יוניליוור סנאיי וי טיקאר,14,0512179438,0512179438@super.student.com
569,יוניליוור פולין,9,0514132262,0514132262@super.student.com
570,"יוניליוור שפע ישראל בע""\",10,0524898038,0524898038@super.student.com
571,יוניליוור שפע ישראל בעמ,10,0521872369,0521872369@super.student.com
572,יוניליוור שפע ישראל בעמ.,10,0559492681,0559492681@super.student.com
573,יוניליור ישראל טיפוח איש,10,0561509620,0561509620@super.student.com
574,"יוניליור שפע ישראל בע""\מ",10,0586248657,0586248657@super.student.com
575,יוניקורד בעמ,22,0506137907,0506137907@super.student.com
576,יוניקורד ח.צ בעמ,22,0556382324,0556382324@super.student.com
577,יוניקורן פיקלס,24,0503023011,0503023011@super.student.com
578,יונליוור ארהב,18,0518996303,0518996303@super.student.com
579,"יונליוור ישראל מזון בע""\",10,0508722659,0508722659@super.student.com
580,"יונליוור שפע ישראל בע""\מ",10,0583763793,0583763793@super.student.com
581,יחיעם,10,0552008147,0552008147@super.student.com
582,יטבתה,10,0564280661,0564280661@super.student.com
583,"ייאן וואל יון בע""\מ",22,0559259237,0559259237@super.student.com
584,יסכה,10,0572399571,0572399571@super.student.com
585,יפאורה שותפות מובגלת לשי,10,0537258723,0537258723@super.student.com
586,יפאורה תבורי,10,0518319608,0518319608@super.student.com
587,"יפאורה תבורי בע""\מ",10,0542744049,0542744049@super.student.com
588,יפאורה תבורי בעמ,10,0534260465,0534260465@super.student.com
589,"יקב דלתון בע""\מ",10,0552252410,0552252410@super.student.com
590,יקב הגליל יוסף גולד ובני,10,0564451604,0564451604@super.student.com
591,יקב הרי גליל,10,0551308797,0551308797@super.student.com
592,"יקב טפרברג 1870 בע""מ",10,0522802713,0522802713@super.student.com
593,יקב רמת הגולן,10,0515472381,0515472381@super.student.com
594,יקבי ברקן,10,0576750832,0576750832@super.student.com
595,"יקבי ברקן בע""\מ",10,0567014386,0567014386@super.student.com
596,יקבי ברקן שיווק והפצה בע,10,0519515847,0519515847@super.student.com
597,יקבי ירושלים,10,0519671625,0519671625@super.student.com
598,יקבי כרמל,10,0538118255,0538118255@super.student.com
599,יקבי רמת הגולן קצרין,10,0584202229,0584202229@super.student.com
600,יקנעם,10,0586778058,0586778058@super.student.com
601,יראון עבודות חקלאיות,10,0539963058,0539963058@super.student.com
602,ירוג,4,0572295577,0572295577@super.student.com
603,כושר דיירי,5,0527948442,0527948442@super.student.com
604,כללי,46,0514360214,0514360214@super.student.com
605,כפרי בריא משק ויילר,10,0542308104,0542308104@super.student.com
606,"כרמי צבי - אחים סגל בע""\",10,0534612061,0534612061@super.student.com
607,כרמית,10,0583856226,0583856226@super.student.com
608,"כרמית מזון בע""\מ",10,0574759755,0574759755@super.student.com
609,"כרמית תעשיות ממתקים בע""\",10,0541729316,0541729316@super.student.com
610,כרמית תעשיות ממתקים בעמ,10,0508019219,0508019219@super.student.com
611,כרמלים שדות חדשים,10,0571801322,0571801322@super.student.com
612,לאוג'י לוואצה אס.פי.אי,3,0577052156,0577052156@super.student.com
613,"לאטזימאס ס.א, פנורמוס, 7",21,0589779073,0589779073@super.student.com
614,לאטי עזרא,10,0575332980,0575332980@super.student.com
615,לה דוריה,3,0564314983,0564314983@super.student.com
616,לואקר,16,0546987858,0546987858@super.student.com
617,לוטה נסטלה קוריאה,41,0553934455,0553934455@super.student.com
618,לוטוס ביקרי,8,0552863929,0552863929@super.student.com
619,לוריאל ישראל קוסמטיקס בע,14,0511004573,0511004573@super.student.com
620,לחוביץ,46,0552311528,0552311528@super.student.com
621,ליברמו,8,0577877887,0577877887@super.student.com
622,לילית בישום,18,0522876097,0522876097@super.student.com
623,לינדט ושפרונגלי,6,0511744873,0511744873@super.student.com
624,לינדט ושפרונגלי קילשברג,2,0587267729,0587267729@super.student.com
625,ליקואטס וגטאלס,19,0545382994,0545382994@super.student.com
626,למפדוס,10,0589867333,0589867333@super.student.com
627,לנגוט טראבן,2,0524032386,0524032386@super.student.com
628,לנדוור,10,0585809347,0585809347@super.student.com
629,לרטייר,46,0582086126,0582086126@super.student.com
630,מ.לסר,10,0565352277,0565352277@super.student.com
631,מאאס הוני איי אנ טי,10,0501918144,0501918144@super.student.com
632,מאיר בייגל,10,0516274244,0516274244@super.student.com
633,מאיר עזרא ובניו,17,0532947348,0532947348@super.student.com
634,מאמא מרי,10,0588531415,0588531415@super.student.com
635,מאמא עוף,10,0549570762,0549570762@super.student.com
636,מאנפאקטור,14,0526061750,0526061750@super.student.com
637,"מאסטרפוד אוסטריה בע""מ",5,0582036392,0582036392@super.student.com
638,מאפ גדרון,10,0562135701,0562135701@super.student.com
639,מאפ. דגנית עין-בר,10,0544250798,0544250798@super.student.com
640,מאפיית אורן משי,10,0517543857,0517543857@super.student.com
641,"מאפיית אורן משי בע""\מ",10,0516076103,0516076103@super.student.com
642,מאפיית אנג'\ל אורנים מאפ,10,0532551246,0532551246@super.student.com
643,"מאפיית אנג'\ל בעמ, מקבוצ",10,0562788761,0562788761@super.student.com
644,מאפיית יוסף ושמחה עבאדי,10,0563025243,0563025243@super.student.com
645,מאפיית שלמה א. אנג'\ל בע,10,0575380786,0575380786@super.student.com
646,מאפיית שלמה א. אנג'ל,10,0583007756,0583007756@super.student.com
647,מאפיית שלמה א.אנג'\ל בע\,10,0528720298,0528720298@super.student.com
648,מאפית ברמן,10,0533615856,0533615856@super.student.com
649,מאפית ודש,10,0538218595,0538218595@super.student.com
650,מבשלות בירה בינלאומיות ב,10,0506610614,0506610614@super.student.com
651,מבשלות בירה ישראל,10,0506634310,0506634310@super.student.com
652,"מבשלות בירה לישראל בע""\מ",10,0573556372,0573556372@super.student.com
653,"מבשלות בירה לישראל בע""מ",10,0587862278,0587862278@super.student.com
654,מבשלת בקס,2,0509375936,0509375936@super.student.com
655,"מבשלת היינקן, ריטבלדנברג",4,0548382293,0548382293@super.student.com
656,מבשלת מיתוס ס.א,21,0542880141,0542880141@super.student.com
657,מבשלת פאולנר,2,0536282055,0536282055@super.student.com
658,מבשלת קסטל ואן הונסברוק,8,0553437779,0553437779@super.student.com
659,מגדנית הדר,10,0548779308,0548779308@super.student.com
660,מהדרין תנופורט,10,0569866858,0569866858@super.student.com
661,מוטולה,10,0579456541,0579456541@super.student.com
662,מוטי,3,0539872559,0539872559@super.student.com
663,מולר,10,0573469756,0573469756@super.student.com
664,מונדלז אירלנד לימיטד,7,0574072341,0574072341@super.student.com
665,מונדלז יו.קיי. קונפקטיונ,5,0511146676,0511146676@super.student.com
666,מונדלייז,27,0543135776,0543135776@super.student.com
667,"מופק ממקור בזלתי עדן ,1",10,0574259676,0574259676@super.student.com
668,מוצרי איכות אמריקאיים,20,0537711859,0537711859@super.student.com
669,מוצרי איכות אמריקאיים בע,10,0559188247,0559188247@super.student.com
670,"מוצרי עוף טוב (2001) בע""",10,0556169961,0556169961@super.student.com
671,מוצרי עוף טוב (2001) בע\,10,0587535048,0587535048@super.student.com
672,מוצרי שום ותיבול דורות,10,0586636263,0586636263@super.student.com
673,מור בריאות,10,0524273569,0524273569@super.student.com
674,מור פירות השרון,10,0503471457,0503471457@super.student.com
675,מושב לכיש,10,0519495570,0519495570@super.student.com
676,מזקקת קוימאנס טילבורג,4,0525172718,0525172718@super.student.com
677,"מחלבות בר בכפר בע""\מ",10,0543821522,0543821522@super.student.com
678,מחלבות גד,10,0588054462,0588054462@super.student.com
679,"מחלבות גד בע""\מ",10,0501641094,0501641094@super.student.com
680,מחלבות רמת הגולן,10,0503690633,0503690633@super.student.com
681,מחלבת אלון תבור,10,0511352193,0511352193@super.student.com
682,מחלבת המושבה,10,0551475968,0551475968@super.student.com
683,מחלבת הרדוף,10,0536873665,0536873665@super.student.com
684,מחלבת השומרון,10,0519315937,0519315937@super.student.com
685,מחלבת יטבתה,10,0507139815,0507139815@super.student.com
686,מחלבת מושבה,10,0516813070,0516813070@super.student.com
687,מחלבת סוסיא,10,0572189989,0572189989@super.student.com
688,מחלבת רמת-הגולן,10,0517292173,0517292173@super.student.com
689,מטעמי פאר,10,0571841396,0571841396@super.student.com
690,מטרנה תעשיות ש.מ,10,0585356980,0585356980@super.student.com
691,מטרנה תעשיות ש.מ.,10,0554210058,0554210058@super.student.com
692,מי עדן,10,0504778292,0504778292@super.student.com
693,מידי,3,0577897030,0577897030@super.student.com
694,מיה,10,0538038955,0538038955@super.student.com
695,מיה תעשיות מזון,10,0559666882,0559666882@super.student.com
696,מיה תעשיות מזון מ.ת.מ. ב,10,0573320168,0573320168@super.student.com
697,מיוצר וממולא על ידי יקב,10,0573081261,0573081261@super.student.com
698,"מיוצר ע""\י גלידת שטראוס",10,0561662447,0561662447@super.student.com
699,"מיוצר ע""\י יוניליוור ישר",10,0503855153,0503855153@super.student.com
700,"מיוצר ע""\י קוד יצרן EDNK",10,0524285898,0524285898@super.student.com
701,מיוצר על ידי יקב תבור,10,0501735698,0501735698@super.student.com
702,מיטב,10,0523405174,0523405174@super.student.com
703,מיישקו,9,0534077031,0534077031@super.student.com
704,מילועוף,10,0531817027,0531817027@super.student.com
705,מילקו תעשיות בעמ,10,0516830236,0516830236@super.student.com
706,מינג לין פוד לטד,17,0565421250,0565421250@super.student.com
707,מכוורת יד מרדכי שטראוס ב,10,0535531630,0535531630@super.student.com
708,מלח הארץ אילת,10,0522309732,0522309732@super.student.com
709,מלח הארץ בעמ,10,0563100242,0563100242@super.student.com
710,ממתקי עלה בעמ,10,0582117011,0582117011@super.student.com
711,מנה,10,0563321044,0563321044@super.student.com
712,מנטוס,4,0518046747,0518046747@super.student.com
713,מנסווי גידה,14,0555998802,0555998802@super.student.com
714,מנעמים,10,0505556531,0505556531@super.student.com
715,"מנעמים תעשיות מזון בע""\מ",10,0536584876,0536584876@super.student.com
716,"מעדנות בע""\מ",10,0573103872,0573103872@super.student.com
717,מעדנות בעמ,10,0568709682,0568709682@super.student.com
718,מעדני הטלה,10,0512549116,0512549116@super.student.com
719,מעדני הטלה והעגל,10,0536046077,0536046077@super.student.com
720,מעדני יחיעם,10,0551933428,0551933428@super.student.com
721,מעיין תעשיות מאפה,10,0579320440,0579320440@super.student.com
722,מפעלי ברונוס בעמ,10,0506687515,0506687515@super.student.com
723,מפעלי דגן,10,0587178835,0587178835@super.student.com
724,"מפעלי יופ""י אגש""ח",10,0564210241,0564210241@super.student.com
725,מצות אביב 2014 מאפה בעמ,10,0566385063,0566385063@super.student.com
726,מצות יהודה,10,0572424032,0572424032@super.student.com
727,מרבה,26,0536591053,0536591053@super.student.com
728,מרטיני ורוסי,3,0574413727,0574413727@super.student.com
729,מרינה,10,0536541349,0536541349@super.student.com
730,מרכז השקד,10,0503562084,0503562084@super.student.com
731,מרס,18,0538807465,0538807465@super.student.com
732,מרס הולנד בי.וי.,4,0529283088,0529283088@super.student.com
733,מרסה,14,0567111487,0567111487@super.student.com
734,"משווק ע""י קימברלי קלארק",57,0526570463,0526570463@super.student.com
735,משווק על ידי HQP,33,0506835424,0506835424@super.student.com
736,"משק אסף פרחי בע""מ",10,0587738894,0587738894@super.student.com
737,משק גל,10,0584520177,0584520177@super.student.com
738,"משק ווילר בע""\מ",10,0517233319,0517233319@super.student.com
739,משק יעקבס,10,0586751474,0586751474@super.student.com
740,משק צוריאל,10,0539178147,0539178147@super.student.com
741,משק צוריאל תבור,10,0545621536,0545621536@super.student.com
742,מתבל תעשיות מזון,10,0526205870,0526205870@super.student.com
743,מתוק וקל,10,0514317714,0514317714@super.student.com
744,נאטקו,3,0518183749,0518183749@super.student.com
745,נאטרא,8,0548631800,0548631800@super.student.com
746,נאטרא מאלה,8,0589350473,0589350473@super.student.com
747,נארה קוקולנד,53,0589972785,0589972785@super.student.com
748,נביעות טבע,10,0516328676,0516328676@super.student.com
749,"נביעות טבע הגליל בע""\מ",10,0553489783,0553489783@super.student.com
750,"נביעות טבע הגליל בע""מ",10,0549347792,0549347792@super.student.com
751,נביעות טבע הגליל בעמ,10,0582200021,0582200021@super.student.com
752,נוהלס ג'\י אס סי.,23,0562670267,0562670267@super.student.com
753,נוהלס ג'י אס סי,23,0563934901,0563934901@super.student.com
754,נוטרישיה קאלק,4,0525730718,0525730718@super.student.com
755,נטו,49,0561469536,0561469536@super.student.com
756,"נטורלה גטרנק בע""\מn\",23,0503344726,0503344726@super.student.com
757,ניולט פוד ס.פ.א,3,0505323982,0505323982@super.student.com
758,ניצן,18,0528053133,0528053133@super.student.com
759,ניקול,10,0516093688,0516093688@super.student.com
760,נסטלה,23,0527301879,0527301879@super.student.com
761,נסטלה אנגליה,5,0552892528,0552892528@super.student.com
762,נסטלה ווטרס ספלאי,6,0507241117,0507241117@super.student.com
763,נסטלה נספרסו,1,0523548475,0523548475@super.student.com
764,נסטלה פולסקה אס.איי,9,0552250984,0552250984@super.student.com
765,"נסטלה פורטוגל, יוניפסואל",26,0581832428,0581832428@super.student.com
766,נסטלה פורינה,18,0565557275,0565557275@super.student.com
767,נקה,10,0528096390,0528096390@super.student.com
768,נרסיסו רדריגז,10,0514815931,0514815931@super.student.com
769,סאאדת,22,0559635188,0559635188@super.student.com
770,סאדאט,14,0574725199,0574725199@super.student.com
771,סאדאט גידא,14,0543062089,0543062089@super.student.com
772,סאטקו,23,0556652915,0556652915@super.student.com
773,סאן דלפור - שמבור,6,0518846595,0518846595@super.student.com
774,סאן מישל,6,0589209082,0589209082@super.student.com
775,סאן מישל צ'\אמפאגנאק,6,0575353210,0575353210@super.student.com
776,סאסא טק,10,0579829266,0579829266@super.student.com
777,סאסאטק,10,0523577171,0523577171@super.student.com
778,"סאסאטק אגש""ח בע""מ",10,0566502869,0566502869@super.student.com
779,סגל דברים טובים,9,0581359966,0581359966@super.student.com
780,סהרון,10,0523313553,0523313553@super.student.com
781,סובנה,19,0545717809,0545717809@super.student.com
782,סוגת,10,0526816408,0526816408@super.student.com
783,"סוגת תעשיות בע""\מ",10,0546051484,0546051484@super.student.com
784,"סוגת תעשיות בע""מ",10,0528630529,0528630529@super.student.com
785,סוי מג'יק,10,0521516699,0521516699@super.student.com
786,סוילה אס.אר.אל,3,0525142523,0525142523@super.student.com
787,סופרוקוס,6,0523057649,0523057649@super.student.com
788,סטארקיסט,10,0512812639,0512812639@super.student.com
789,סי פרווידר,3,0547921297,0547921297@super.student.com
790,סי. פי. אנגליה,5,0538190898,0538190898@super.student.com
791,סי. פי. פולין,9,0563335399,0563335399@super.student.com
792,סי. פי. צרפת,6,0507654503,0507654503@super.student.com
793,סי.פי אנגליה,5,0537416977,0537416977@super.student.com
794,סי.פי פולין,9,0539032046,0539032046@super.student.com
795,סיא אונדה,31,0525856079,0525856079@super.student.com
796,סידג,1,0582977097,0582977097@super.student.com
797,סימפלי 7,18,0513860144,0513860144@super.student.com
798,סין,33,0501548863,0501548863@super.student.com
799,סלטי ברדה,10,0523687113,0523687113@super.student.com
800,סלטי צבר,10,0552115383,0552115383@super.student.com
801,סלטי שמיר,10,0577008270,0577008270@super.student.com
802,סלים דליס,19,0586118684,0586118684@super.student.com
803,סן פלגרינו,3,0508180573,0508180573@super.student.com
804,סן-פלגרינו,3,0561362738,0561362738@super.student.com
805,"סנאט גרופ, טורקיה",14,0516266879,0516266879@super.student.com
806,סנדוויצ'ולוגיה,10,0547806054,0547806054@super.student.com
807,סנו,33,0521913125,0521913125@super.student.com
808,"סנו מפעלו ברונוס בע""\מ",10,0562094899,0562094899@super.student.com
809,סנו מפעלי ברונו בעמ,18,0544584960,0544584960@super.student.com
810,"סנו מפעלי ברונוס בע""\מ",10,0535260150,0535260150@super.student.com
811,"סנו מפעלי ברונוס בע""מ",10,0534678213,0534678213@super.student.com
812,סנו מפעלי ברונוס בעמ,10,0585544704,0585544704@super.student.com
813,סנו מפעלי ברונוס בעמn,10,0569245464,0569245464@super.student.com
814,"סנו, ח.צ 520032988",10,0548761488,0548761488@super.student.com
815,סניידרס,18,0562259111,0562259111@super.student.com
816,סניידרס לאנס,18,0549069718,0549069718@super.student.com
817,"סנפרוסט בע""\מ",10,0507992650,0507992650@super.student.com
818,סנפרוסט בעמ,10,0557232899,0557232899@super.student.com
819,סנקי,53,0552491228,0552491228@super.student.com
820,סנשיין מילס,18,0579237252,0579237252@super.student.com
821,ספטונה,21,0589086735,0589086735@super.student.com
822,ספידי תעשיות,10,0568512716,0568512716@super.student.com
823,ספץ תעשיות,60,0507960990,0507960990@super.student.com
824,סר קאשנדל בי.וי,4,0562644383,0562644383@super.student.com
825,סרבסריה מודלו,61,0575594368,0575594368@super.student.com
826,סרג'יאטו,3,0511493557,0511493557@super.student.com
827,"סרלטו סינטרה מזון בע""\מ",26,0585028269,0585028269@super.student.com
828,"סרלטו סינטרה מזון בע""מ",26,0541095112,0541095112@super.student.com
829,עדן,10,0552552717,0552552717@super.student.com
830,עדן קינוחים,10,0582645628,0582645628@super.student.com
831,עדנים,10,0509292485,0509292485@super.student.com
832,עוף הגליל,10,0528746568,0528746568@super.student.com
833,עוף טוב,10,0521552443,0521552443@super.student.com
834,עוף עוז,10,0524777300,0524777300@super.student.com
835,עטרה,10,0514796715,0514796715@super.student.com
836,עידו נחום,10,0563141901,0563141901@super.student.com
837,עין גדי מיים מינרלים,10,0507525685,0507525685@super.student.com
838,עינת,10,0536710921,0536710921@super.student.com
839,עינת תעשיות,10,0505776346,0505776346@super.student.com
840,עלבד,10,0534352293,0534352293@super.student.com
841,עלבד משואות יצחק,10,0563706452,0563706452@super.student.com
842,עלית,42,0544251968,0544251968@super.student.com
843,ענבי ציון,10,0542429321,0542429321@super.student.com
844,עסיס תעשיות מזון,10,0547889405,0547889405@super.student.com
845,ערדום תמרים,10,0542034801,0542034801@super.student.com
846,פאקא,37,0513656589,0513656589@super.student.com
847,"פאקא תעשיות בע""\מ",10,0506161985,0506161985@super.student.com
848,פארמה דיל,10,0553168421,0553168421@super.student.com
849,פוג'אן טונגפה,33,0534742134,0534742134@super.student.com
850,פוג'יאן לונגהי,33,0577584766,0577584766@super.student.com
851,פוג'יקום,33,0522431358,0522431358@super.student.com
852,"פודליצקי ספ.ז.או.או,",9,0584932919,0584932919@super.student.com
853,פודס,32,0528843245,0528843245@super.student.com
854,"פול הון ,(#POL-hUN) קולו",9,0556625395,0556625395@super.student.com
855,"פוליבה בע""\מ",10,0511293313,0511293313@super.student.com
856,פונט סאלם וולנסיה,19,0559944389,0559944389@super.student.com
857,פוסט,18,0516303592,0516303592@super.student.com
858,פוסידון תעשיות,10,0553268746,0553268746@super.student.com
859,פופז,18,0545373864,0545373864@super.student.com
860,פורסלבה,19,0509684697,0509684697@super.student.com
861,פושן קלינינג,33,0559644480,0559644480@super.student.com
862,פי אר ג'\יי אס אי מנדלז,29,0506082849,0506082849@super.student.com
863,פי.פי.איג' ארטלקס,9,0551773812,0551773812@super.student.com
864,פיאו,10,0565956802,0565956802@super.student.com
865,פיבי ספא,14,0547214929,0547214929@super.student.com
866,פיין ונטג,33,0502472440,0502472440@super.student.com
867,פיירוואטר,10,0569042000,0569042000@super.student.com
868,פיליפ מוריס,18,0535546052,0535546052@super.student.com
869,פינקה לה סליה,46,0515996997,0515996997@super.student.com
870,פיצוחי הטיב,10,0511028486,0511028486@super.student.com
871,פיצוחי ציון,10,0551568265,0551568265@super.student.com
872,פירות עולם,13,0542540670,0542540670@super.student.com
873,פישר מעבדות פרמצבטיות,10,0537158358,0537158358@super.student.com
874,פישר מעבדות פרמצבטיות בע,10,0505142777,0505142777@super.student.com
875,פלטינום ברזילאי 200 גרם:,10,0586287545,0586287545@super.student.com
876,פלסטו פוליש,33,0581178375,0581178375@super.student.com
877,פלקו,10,0521801228,0521801228@super.student.com
878,פלקו בעמ,10,0565617963,0565617963@super.student.com
879,פניסקו,46,0529530247,0529530247@super.student.com
880,פניקסקור,46,0574513038,0574513038@super.student.com
881,פסטה זארה,40,0538975500,0538975500@super.student.com
882,פסטה לנסי,3,0513917176,0513917176@super.student.com
883,פסטה נונה,10,0502646838,0502646838@super.student.com
884,פראנו אריקו ופיגלי ס.פ.א,3,0576035343,0576035343@super.student.com
885,פרוזן פקטורי,10,0529849980,0529849980@super.student.com
886,פרוטאגל,3,0586831544,0586831544@super.student.com
887,פרוטה פודיווין,27,0545149523,0545149523@super.student.com
888,פרוני,3,0579357053,0579357053@super.student.com
889,פרונרי פולין,9,0505438310,0505438310@super.student.com
890,פרוסלבה,19,0521114414,0521114414@super.student.com
891,פרופר,10,0518229089,0518229089@super.student.com
892,פרוצ'אמפ,33,0542322967,0542322967@super.student.com
893,פרוקטור אנד גמבל,6,0516074576,0516074576@super.student.com
894,פרוקטר & גמבל,30,0514510243,0514510243@super.student.com
895,פרוקטר אנד גמבל,63,0524023446,0524023446@super.student.com
896,פרוקטר אנד גמבל )ראה קוד,29,0568853290,0568853290@super.student.com
897,פרח,10,0506001497,0506001497@super.student.com
898,פרח תעשיות מזון,10,0567348836,0567348836@super.student.com
899,"פרח תעשיות מזון בע""\מ",10,0544614419,0544614419@super.student.com
900,"פרח תעשיות מזון בע""מ.",10,0543534439,0543534439@super.student.com
901,פרחי ליידי דיאן,10,0587624571,0587624571@super.student.com
902,פרי גליל,25,0585056913,0585056913@super.student.com
903,פרי הגליל בעמ,10,0549460220,0549460220@super.student.com
904,פרי ניר,10,0528231968,0528231968@super.student.com
905,פריגת,10,0508265414,0508265414@super.student.com
906,פריז'אמפולס פייאנה,32,0581955155,0581955155@super.student.com
907,פריטו ליי טורקיה,14,0577759224,0577759224@super.student.com
908,פריי )שוקולד(,1,0523828875,0523828875@super.student.com
909,פרימור,10,0552915615,0552915615@super.student.com
910,פרינגלס מנופקצ'ורינג קונ,18,0512936821,0512936821@super.student.com
911,פרינגלס מניופקצ'\ורינג ק,18,0552559066,0552559066@super.student.com
912,פרינוק,27,0514190870,0514190870@super.student.com
913,פריניב,10,0522594936,0522594936@super.student.com
914,פריניר,10,0512585974,0512585974@super.student.com
915,פרסטון פארמס,18,0547779076,0547779076@super.student.com
916,פרסקו,10,0537528693,0537528693@super.student.com
917,"פרסקו חצבה 2006 בע""\מ",10,0531033482,0531033482@super.student.com
918,פרפטי ואן מלה,14,0565877929,0565877929@super.student.com
919,פרפטי ואן מלה ברדה,4,0553379318,0553379318@super.student.com
920,"פרפטי ואן מלה ג'ידה,סאן",14,0552305686,0552305686@super.student.com
921,פררו,13,0584394187,0584394187@super.student.com
922,פררו - אלבה,9,0588738389,0588738389@super.student.com
923,פררו אס.פי.אי,3,0529481713,0529481713@super.student.com
924,צבר,10,0572507044,0572507044@super.student.com
925,צוקולאט פריי אייץגיץ,1,0537298432,0537298432@super.student.com
926,צי תעשיות מזון יבנה,10,0518106826,0518106826@super.student.com
927,ק.א. ומשווק בבלעדיות על,10,0537343815,0537343815@super.student.com
928,קאוור,10,0523571048,0523571048@super.student.com
929,קאויקיולי,3,0551755579,0551755579@super.student.com
930,קאונו גרודאי,32,0551216585,0551216585@super.student.com
931,קבוצת יבנה,10,0517314914,0517314914@super.student.com
932,קבוצת יבנה מוצרי מזון,10,0502034107,0502034107@super.student.com
933,קואופורטיב איסיני סנט מר,6,0538813817,0538813817@super.student.com
934,קואקר אוטס,5,0505155560,0505155560@super.student.com
935,קוד יצרן DSH,10,0529631298,0529631298@super.student.com
936,קוד יצרן JG,10,0581594630,0581594630@super.student.com
937,קוואקר אוטס קומפני,18,0536616300,0536616300@super.student.com
938,קוזט אס.אי. פיין פודס,21,0503358035,0503358035@super.student.com
939,קוטקס,33,0524255974,0524255974@super.student.com
940,קולגייט פלמוליב,33,0515641198,0515641198@super.student.com
941,קולגייט- פלמוליב,47,0515879002,0515879002@super.student.com
942,קולגייט-פלמוליב,33,0506930269,0506930269@super.student.com
943,קומסטיבלס לה רוזה אס.איי,62,0516764093,0516764093@super.student.com
944,קומפלקס כימיקלים,10,0573145357,0573145357@super.student.com
945,קומפלקס כימיקלים בעמ,10,0567884943,0567884943@super.student.com
946,קונגרה,18,0564505718,0564505718@super.student.com
947,קונדיטוריה אס.פי.אי,3,0565644161,0565644161@super.student.com
948,קונדיטוריית אנג'ל,10,0533687610,0533687610@super.student.com
949,קונסברס פורטוגל נורטה לי,26,0531267139,0531267139@super.student.com
950,קונסרבאס סילביה,6,0588887166,0588887166@super.student.com
951,קוסמופארם,10,0534451903,0534451903@super.student.com
952,"קוסמופארם בע""\מ",10,0564601672,0564601672@super.student.com
953,קוסמופארם בע'\'\מ,10,0572364650,0572364650@super.student.com
954,קוסמופארם בעמ,10,0513513306,0513513306@super.student.com
955,קוסמופול,9,0589470978,0589470978@super.student.com
956,קוסמטיקס,14,0574328831,0574328831@super.student.com
957,קוסמפול,9,0526008986,0526008986@super.student.com
958,קוסקוס מזון,10,0573211274,0573211274@super.student.com
959,קופדקס,37,0576933338,0576933338@super.student.com
960,קופיסה אס.איי,26,0553831965,0553831965@super.student.com
961,קוקה קולה,10,0551407292,0551407292@super.student.com
962,קוראטקס,2,0531250878,0531250878@super.student.com
963,קורניש,10,0572101051,0572101051@super.student.com
964,קטיף.,39,0501662075,0501662075@super.student.com
965,קיובורי,22,0503669974,0503669974@super.student.com
966,קילט ניהול פרוייקטים,22,0519770830,0519770830@super.student.com
967,קימברלי קלארק,42,0538616010,0538616010@super.student.com
968,קימס,8,0513766724,0513766724@super.student.com
969,"קיפל טבליות וממתיקים בע""",10,0503023677,0503023677@super.student.com
970,קלוג'ס,19,0505549354,0505549354@super.student.com
971,קלוגס מניופקטורינג אספנה,19,0536224639,0536224639@super.student.com
972,קלוגס קומפני אוף גרייט ב,5,0555323964,0555323964@super.student.com
973,קלינטסט,18,0549133568,0549133568@super.student.com
974,קליר כימיקלים,10,0518622122,0518622122@super.student.com
975,קלמן אינדיה פי וי סי,24,0589618213,0589618213@super.student.com
976,קמפיאס,3,0506146955,0506146955@super.student.com
977,קסוס דה סאלבדור,19,0553228244,0553228244@super.student.com
978,קסליני,3,0546014041,0546014041@super.student.com
